STANDARD_NAME	REACTOME_PI3K_AKT_SIGNALING_IN_CANCER
SYSTEMATIC_NAME	M27162
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_PI3K_AKT_SIGNALING_IN_CANCER
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	PI3K/AKT Signaling in Cancer
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-2219528
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-2219528|https://www.reactome.org/content/detail/R-HSA-2219528
GENESET_LISTING_URL	
MEMBERS	ENSG00000002330,ENSG00000010810,ENSG00000019991,ENSG00000033327,ENSG00000049130,ENSG00000051382,ENSG00000065361,ENSG00000066468,ENSG00000068078,ENSG00000070193,ENSG00000070388,ENSG00000075388,ENSG00000077782,ENSG00000078579,ENSG00000082701,ENSG00000090554,ENSG00000091831,ENSG00000100311,ENSG00000102678,ENSG00000103197,ENSG00000105221,ENSG00000105647,ENSG00000105723,ENSG00000105976,ENSG00000107831,ENSG00000109321,ENSG00000109458,ENSG00000111241,ENSG00000111276,ENSG00000113070,ENSG00000113578,ENSG00000113721,ENSG00000114013,ENSG00000115808,ENSG00000117020,ENSG00000117461,ENSG00000118260,ENSG00000118689,ENSG00000118972,ENSG00000119487,ENSG00000121594,ENSG00000121879,ENSG00000122025,ENSG00000123358,ENSG00000124762,ENSG00000124882,ENSG00000128340,ENSG00000132906,ENSG00000133116,ENSG00000134853,ENSG00000134962,ENSG00000135679,ENSG00000136238,ENSG00000138675,ENSG00000138685,ENSG00000138798,ENSG00000140009,ENSG00000140285,ENSG00000140992,ENSG00000141736,ENSG00000141968,ENSG00000142208,ENSG00000145675,ENSG00000146648,ENSG00000150907,ENSG00000155629,ENSG00000156427,ENSG00000157168,ENSG00000157404,ENSG00000158458,ENSG00000158815,ENSG00000160867,ENSG00000162344,ENSG00000163235,ENSG00000163519,ENSG00000163600,ENSG00000164327,ENSG00000166225,ENSG00000167965,ENSG00000169047,ENSG00000169752,ENSG00000171608,ENSG00000171862,ENSG00000174808,ENSG00000175634,ENSG00000177105,ENSG00000177455,ENSG00000177885,ENSG00000178562,ENSG00000178568,ENSG00000179295,ENSG00000182585,ENSG00000182866,ENSG00000184481,ENSG00000185737,ENSG00000185950,ENSG00000186654,ENSG00000186895,ENSG00000196468,ENSG00000197122,ENSG00000197461,ENSG00000198793,ENSG00000204060,ENSG00000204673,ENSG00000213341,ENSG00000275199
MAPPED_SYMBOLS	BAD,FYN,HGF,GAB2,KITLG,PIK3CB,ERBB3,FGFR2,FGFR3,FGF10,FGF22,FGF4,FGFR1,FGF20,GSK3B,FLT3LG,ESR1,PDGFB,FGF9,TSC2,AKT2,PIK3R2,GSK3A,MET,FGF8,AREG,GAB1,FGF6,CDKN1B,HBEGF,FGF1,PDGFRB,CD86,STRN,AKT3,PIK3R3,CREB1,FOXO3,FGF23,MAPKAP1,CD80,PIK3CA,FLT3,NR4A1,CDKN1A,EREG,RAC2,CASP9,KL,PDGFRA,KLB,MDM2,RAC1,FGF5,FGF2,EGF,ESR2,FGF7,PDPK1,ERBB2,VAV1,AKT1,PIK3R1,EGFR,FOXO1,PIK3AP1,FGF18,NRG1,KIT,NRG2,FGF17,FGFR4,FGF19,TGFA,TRAT1,ICOS,RICTOR,FRS2,MLST8,IRS1,NRG4,PIK3CD,PTEN,BTC,RPS6KB2,RHOG,CD19,GRB2,CD28,ERBB4,PTPN11,EPGN,LCK,FOXO4,NRG3,IRS2,PRR5,FGF3,FGF16,SRC,PDGFA,MTOR,FOXO6,AKT1S1,CHUK,AKT3
