STANDARD_NAME	REACTOME_CHOLESTEROL_BIOSYNTHESIS
SYSTEMATIC_NAME	M16227
COLLECTION	C2:CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CHOLESTEROL_BIOSYNTHESIS
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Cholesterol biosynthesis
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-191273
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://www.reactome.org/content/detail/R-HSA-191273
SOURCE_MEMBERS	ENSG00000001630,ENSG00000052802,ENSG00000067064,ENSG00000072310,ENSG00000079459,ENSG00000104549,ENSG00000109929,ENSG00000110921,ENSG00000112972,ENSG00000113161,ENSG00000116133,ENSG00000120437,ENSG00000132196,ENSG00000143815,ENSG00000147155,ENSG00000147383,ENSG00000148377,ENSG00000149809,ENSG00000152904,ENSG00000160285,ENSG00000160752,ENSG00000163344,ENSG00000167508,ENSG00000172893,ENSG00000173409,ENSG00000198911,ENSG00000205808,ENSG00000284967
GENE_SYMBOLS	CYP51A1,MSMO1,IDI1,SREBF1,FDFT1,SQLE,SC5D,MVK,HMGCS1,HMGCR,DHCR24,ACAT2,HSD17B7,LBR,EBP,NSDHL,IDI2,TM7SF2,GGPS1,LSS,FDPS,PMVK,MVD,DHCR7,ARV1,SREBF2,PLPP6,FDFT1
FOUNDER_NAMES	
