STANDARD_NAME	REACTOME_MAPK1_ERK2_ACTIVATION
SYSTEMATIC_NAME	M26918
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_MAPK1_ERK2_ACTIVATION
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	MAPK1 (ERK2) activation
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-112411
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-112411|https://www.reactome.org/content/detail/R-HSA-112411
GENESET_LISTING_URL	
MEMBERS	ENSG00000096968,ENSG00000100030,ENSG00000105397,ENSG00000126934,ENSG00000134352,ENSG00000136244,ENSG00000160712,ENSG00000162434,ENSG00000179295
MAPPED_SYMBOLS	JAK2,MAPK1,TYK2,MAP2K2,IL6ST,IL6,IL6R,JAK1,PTPN11
